income_bound_l,income_bound_r,educ_bound_l,educ_bound_r,age_bound_l,age_bound_r,value
0.0,1.0,16.0,17.000000100000001,65.0,70.0,4
8.0,9.0,6.0,7.0,40.0,45.0,73
8.0,9.0,14.0,15.0,50.0,55.0,79
6.0,7.0,1.0,2.0,85.0,90.0,4
2.0,3.0,8.0,9.0,50.0,55.0,1
3.0,4.0,9.0,10.0,15.0,20.0,2
10.0,11.0,11.0,12.0,40.0,45.0,1637
10.0,11.0,8.0,9.0,25.0,30.0,169
8.0,9.0,7.0,8.0,75.0,80.0,90
9.0,10.0,2.0,3.0,40.0,45.0,47
8.0,9.0,2.0,3.0,25.0,30.0,9
8.0,9.0,3.0,4.0,35.0,40.0,33
0.0,1.0,16.0,17.000000100000001,90.0,95.0,1
0.0,1.0,15.0,16.0,60.0,65.0,8
8.0,9.0,14.0,15.0,70.0,75.0,61
4.0,5.0,12.0,13.0,20.0,25.0,1
6.0,7.0,11.0,12.0,60.0,65.0,17
11.0,12.000000099999999,1.0,2.0,85.0,90.0,2
5.0,6.0,11.0,12.0,60.0,65.0,4
0.0,1.0,4.0,5.0,25.0,30.0,46
5.0,6.0,5.0,6.0,65.0,70.0,1
7.0,8.0,7.0,8.0,25.0,30.0,15
11.0,12.000000099999999,1.0,2.0,75.0,80.0,2
6.0,7.0,12.0,13.0,75.0,80.0,3
11.0,12.000000099999999,9.0,10.0,90.0,95.0,24
11.0,12.000000099999999,4.0,5.0,75.0,80.0,5
6.0,7.0,12.0,13.0,30.0,35.0,12
11.0,12.000000099999999,5.0,6.0,35.0,40.0,8
8.0,9.0,7.0,8.0,40.0,45.0,65
8.0,9.0,12.0,13.0,70.0,75.0,65
11.0,12.000000099999999,11.0,12.0,35.0,40.0,416
6.0,7.0,3.0,4.0,50.0,55.0,3
11.0,12.000000099999999,4.0,5.0,85.0,90.0,5
9.0,10.0,6.0,7.0,75.0,80.0,245
6.0,7.0,13.0,14.0,40.0,45.0,37
9.0,10.0,15.0,16.0,90.0,95.0,8
6.0,7.0,10.0,11.0,70.0,75.0,2
10.0,11.0,15.0,16.0,70.0,75.0,73
6.0,7.0,5.0,6.0,30.0,35.0,5
0.0,1.0,8.0,9.0,60.0,65.0,39
0.0,1.0,15.0,16.0,45.0,50.0,11
5.0,6.0,11.0,12.0,70.0,75.0,2
10.0,11.0,6.0,7.0,65.0,70.0,92
6.0,7.0,2.0,3.0,55.0,60.0,2
5.0,6.0,13.0,14.0,55.0,60.0,6
0.0,1.0,15.0,16.0,85.0,90.0,1
