income_bound_l,income_bound_r,educ_bound_l,educ_bound_r,age_bound_l,age_bound_r,value
11.0,12.000000099999999,11.0,12.0,30.0,35.0,224.832985446129
0.0,1.0,16.0,17.000000100000001,65.0,70.0,-3.818834697728825
8.0,9.0,6.0,7.0,40.0,45.0,78.19420244530697
8.0,9.0,14.0,15.0,50.0,55.0,78.27285877857683
6.0,7.0,1.0,2.0,85.0,90.0,2.8823475501305493
2.0,3.0,8.0,9.0,50.0,55.0,2.783482282634632
3.0,4.0,9.0,10.0,15.0,20.0,8.224619350082765
10.0,11.0,11.0,12.0,40.0,45.0,1637.8836397490627
10.0,11.0,8.0,9.0,25.0,30.0,163.15912207879774
8.0,9.0,7.0,8.0,75.0,80.0,88.73669453243623
9.0,10.0,2.0,3.0,40.0,45.0,45.76045955110817
8.0,9.0,2.0,3.0,25.0,30.0,10.574978470366819
8.0,9.0,3.0,4.0,35.0,40.0,32.22858212977925
0.0,1.0,16.0,17.000000100000001,90.0,95.0,1.792388852787953
0.0,1.0,15.0,16.0,60.0,65.0,7.9716744067992815
8.0,9.0,14.0,15.0,70.0,75.0,60.22774280340468
4.0,5.0,12.0,13.0,20.0,25.0,0.7096724264945761
6.0,7.0,11.0,12.0,60.0,65.0,9.166761434349855
11.0,12.000000099999999,1.0,2.0,85.0,90.0,2.0313726320411902
5.0,6.0,11.0,12.0,60.0,65.0,5.173662151726064
0.0,1.0,4.0,5.0,25.0,30.0,58.2423182285557
5.0,6.0,5.0,6.0,65.0,70.0,-0.3900186847934477
7.0,8.0,7.0,8.0,25.0,30.0,16.598062040671486
11.0,12.000000099999999,1.0,2.0,75.0,80.0,0.05498752470852053
6.0,7.0,12.0,13.0,75.0,80.0,0.7287234623878986
11.0,12.000000099999999,9.0,10.0,90.0,95.0,22.325473521894885
11.0,12.000000099999999,4.0,5.0,75.0,80.0,5.995907741281493
6.0,7.0,12.0,13.0,30.0,35.0,11.71080719528563
11.0,12.000000099999999,5.0,6.0,35.0,40.0,7.6438637180815965
8.0,9.0,7.0,8.0,40.0,45.0,63.962396977480736
8.0,9.0,12.0,13.0,70.0,75.0,64.05748965036324
11.0,12.000000099999999,11.0,12.0,35.0,40.0,408.7157279920194
6.0,7.0,3.0,4.0,50.0,55.0,2.2837106319942184
11.0,12.000000099999999,4.0,5.0,85.0,90.0,6.860545395984757
9.0,10.0,6.0,7.0,75.0,80.0,242.82120831408378
6.0,7.0,13.0,14.0,40.0,45.0,32.20081621859408
9.0,10.0,15.0,16.0,90.0,95.0,6.422737668956206
6.0,7.0,10.0,11.0,70.0,75.0,0.9755807095675149
10.0,11.0,15.0,16.0,70.0,75.0,74.26403673746677
6.0,7.0,5.0,6.0,30.0,35.0,5.71892060303913
0.0,1.0,8.0,9.0,60.0,65.0,39.872218024157235
0.0,1.0,15.0,16.0,45.0,50.0,9.118907284662068
5.0,6.0,11.0,12.0,70.0,75.0,-0.5281795946560126
10.0,11.0,6.0,7.0,65.0,70.0,90.28786281568713
6.0,7.0,2.0,3.0,55.0,60.0,6.934640838575548
5.0,6.0,13.0,14.0,55.0,60.0,9.29049929667985
0.0,1.0,15.0,16.0,85.0,90.0,3.4937262153113746
